ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2024,5,263,265,1,2
2024,6,262,264,2,0
2024,6,356,263,1,1
2024,6,267,287,2,1
2024,6,265,280,1,0
2024,6,276,266,2,1
2024,7,284,280,0,2
2024,7,266,286,1,1
2024,7,264,263,0,1
2024,7,267,262,1,6
2024,7,282,265,1,1
2024,7,276,283,2,0
2024,8,286,287,1,1
2024,8,263,266,1,0
2024,8,280,282,1,2
2024,8,262,284,2,1
2024,8,285,276,0,0
2024,8,275,267,2,0
2024,8,265,356,1,0
2024,9,280,286,2,1
2024,9,264,276,2,2
2024,9,287,285,2,1
2024,9,284,263,1,2
2024,9,267,283,0,0
2024,9,282,275,0,4
2024,10,356,284,1,0
2024,10,286,267,2,0
2024,10,283,266,2,0
2024,10,285,264,1,0
2024,10,287,282,4,2
2024,10,262,265,2,1
2024,10,275,280,2,1
2024,11,284,285,0,1
2024,11,267,276,4,1
2024,11,266,262,0,1
2024,11,265,283,4,1
2024,11,282,356,1,1
2024,11,275,286,3,1
2024,11,280,287,2,1
2024,12,263,280,2,1
2024,12,286,262,2,1
2024,12,265,267,2,1
2024,12,356,275,3,0
2024,12,285,282,1,2
2024,12,266,287,0,1
2024,13,267,263,1,1
2024,13,284,266,1,0
2024,13,356,286,2,1
2024,13,276,265,3,1
2024,13,262,283,2,1
2024,13,275,264,2,0
2024,14,267,356,2,0
2024,14,282,262,2,4
2024,14,284,275,2,2
2024,14,265,286,2,0
2024,14,266,285,1,1
2024,14,264,287,3,2
2024,15,276,280,2,0
2024,15,356,266,1,0
2024,15,286,284,3,0
2024,15,283,264,3,0
2024,15,285,267,1,2
2024,15,275,265,2,0
2024,15,263,282,3,0
2024,16,284,283,0,2
2024,16,267,264,2,0
2024,16,262,356,1,2
2024,16,282,276,2,1
2024,16,287,263,0,1
2024,17,283,280,2,1
2024,17,286,282,1,1
2024,17,276,284,1,0
2024,17,263,275,1,0
2024,17,356,287,3,1
2024,18,263,285,1,0
2024,18,275,283,2,0
2024,18,284,287,2,0
2024,18,282,267,2,0
